iter	RMSE
0	0.8112570176
1	0.8078442062
2	0.8047190432
3	0.8019894477
4	0.7987139276
5	0.7957665822
6	0.793054584
7	0.7902590519
8	0.7875505133
9	0.7849389412
10	0.7823962363
11	0.7800612334
12	0.7777654084
13	0.7754301908
14	0.7730169491
15	0.7707926715
16	0.768823343
17	0.7664776296
18	0.7646002995
19	0.7625915771
20	0.7605323275
21	0.7586807656
22	0.7567945258
23	0.754919361
24	0.7532502526
25	0.7515694356
26	0.7498911968
27	0.7484852853
28	0.7467660988
29	0.7453460309
30	0.7436769758
31	0.7426041664
32	0.7414987488
33	0.7402928801
34	0.7389843256
35	0.7376489246
36	0.7364722311
37	0.7351608764
38	0.733698984
39	0.7326259309
40	0.7313931697
41	0.7303424563
42	0.7292675428
43	0.7282716188
44	0.7272722437
45	0.7262244529
46	0.7252172128
47	0.7241823517
48	0.7232848464
49	0.7222459567
50	0.7213464325
51	0.7204269146
52	0.7194041858
53	0.7184030337
54	0.717343789
55	0.7164650569
56	0.7155324061
57	0.7147427523
58	0.7139839314
59	0.7133097369
60	0.7126969327
61	0.711764451
62	0.7109342314
63	0.710151417
64	0.7093202181
65	0.7086122439
66	0.7077719724
67	0.7070438298
68	0.7062807907
69	0.7055552232
70	0.7050105412
71	0.7043341
72	0.7035441333
73	0.7028649586
74	0.7021468345
75	0.7014370546
76	0.7008988228
77	0.7002317436
78	0.6995746106
79	0.698953372
80	0.6984223196
81	0.6977626833
82	0.6972110905
83	0.6965863586
84	0.6959740796
85	0.695462148
86	0.6949415455
87	0.694486396
88	0.6940053819
89	0.6935043286
90	0.6930565098
91	0.6924970294
92	0.6920842923
93	0.6915637679
94	0.6911689295
95	0.6906923038
96	0.6901512975
97	0.6897301523
98	0.689322293
99	0.6888249429
100	0.6883198476
101	0.6877887525
102	0.6873664842
103	0.686879321
104	0.6864603734
105	0.6859921569
106	0.6855625678
107	0.6850847988
108	0.6846689005
109	0.6841736009
110	0.6837968793
111	0.6834051926
112	0.6830278713
113	0.6825871423
114	0.6822643761
115	0.6818534303
116	0.6814492151
117	0.6809477191
118	0.6804324783
119	0.6800666895
120	0.6797025112
121	0.6792585015
122	0.678907059
123	0.6784764786
124	0.6781606716
125	0.6777268607
126	0.6773198321
127	0.6769384277
128	0.6766225087
129	0.6762218284
130	0.6759205525
131	0.6755831703
132	0.6752208232
133	0.6748661605
134	0.674509595
135	0.6741434331
136	0.6737809771
137	0.6734003176
138	0.6731355293
139	0.6727908828
140	0.6724930242
141	0.672132506
142	0.671880376
143	0.6716198812
144	0.6713138236
145	0.6709544229
146	0.6706956936
147	0.6703555584
148	0.6700063539
149	0.669693749
150	0.6694766074
151	0.6691734558
152	0.6688774807
153	0.6685769978
154	0.66829374
155	0.6681040041
156	0.6677467378
157	0.6675076124
158	0.6672593186
159	0.666996378
160	0.6667049436
161	0.6664351698
162	0.6661831932
163	0.6659371151
164	0.66564217
165	0.6653605643
166	0.6650572186
167	0.6648251438
168	0.6645682183
169	0.6642950047
170	0.6640587285
171	0.6637990031
172	0.6634391786
173	0.6631683912
174	0.6629275285
175	0.6627022717
176	0.6624022954
177	0.6621783243
178	0.6619252661
179	0.6617176981
180	0.6615002125
181	0.6612505789
182	0.6609495752
183	0.6606233092
184	0.6604859085
185	0.6602381781
186	0.6599421906
187	0.6596707017
188	0.6593676652
189	0.6591514373
190	0.6588923762
191	0.6586360591
192	0.6584353886
193	0.6581971713
194	0.6579734517
195	0.6577354229
196	0.6575773259
197	0.657324067
198	0.6571053324
199	0.6569077586
200	0.6566863147
201	0.6565157094
202	0.6562285468
203	0.6560373913
204	0.6558377803
205	0.6557145492
206	0.6555090757
207	0.6553253268
208	0.6551506964
209	0.6549558578
210	0.6547427857
211	0.6545898621
212	0.6543533408
213	0.6541539544
214	0.6538448806
215	0.6535874546
216	0.6533858816
217	0.6531486152
218	0.6528752301
219	0.6526102398
220	0.652471233
221	0.6522782813
222	0.6520995936
223	0.6518234428
224	0.6515382163
225	0.6513155115
226	0.6511510437
227	0.6509235796
228	0.6507188657
229	0.6504990744
230	0.6502457107
231	0.65008463
232	0.6499565313
233	0.6496914451
234	0.6494813768
235	0.6492806535
236	0.6491515934
237	0.6489683353
238	0.6487970497
239	0.6485863498
240	0.6482993432
241	0.6481196765
242	0.6478939357
243	0.6476531933
244	0.6475026624
245	0.6472822694
246	0.6470854331
247	0.6468848464
248	0.6467671571
249	0.6465898411
250	0.6464324169
251	0.6462825857
252	0.6460642409
253	0.6458418781
254	0.6456650587
255	0.6454636357
256	0.6452466504
257	0.6450337596
258	0.6448408095
259	0.6446014408
260	0.6443936423
261	0.6441716958
262	0.6439262393
263	0.6438384404
264	0.6436178893
265	0.6434449132
266	0.6432293143
267	0.6430975878
268	0.6429410192
269	0.6427967095
270	0.6426037395
271	0.6424402095
272	0.6422979868
273	0.6421280375
274	0.6418283267
275	0.6416842953
276	0.6415393273
277	0.6413139378
278	0.6411759291
279	0.6409467487
280	0.6408217308
281	0.6406118814
282	0.6404699148
283	0.6403133535
284	0.6401680829
285	0.6400323758
286	0.6398774422
287	0.6396043703
288	0.6394833471
289	0.6393252162
290	0.6392310211
291	0.6390405761
292	0.6389269541
293	0.6388035833
294	0.6386442813
295	0.638469305
296	0.63827594
297	0.6380960344
298	0.6379586323
299	0.6377914036
300	0.6376393301
301	0.6374255025
302	0.6371962164
303	0.6370383456
304	0.636894834
305	0.6366957117
306	0.6365378931
307	0.6364234185
308	0.6362263325
309	0.6359752826
310	0.6358354693
311	0.635667926
312	0.6355639798
313	0.6353885734
314	0.6352530838
315	0.6350697025
316	0.6348872096
317	0.6347739378
318	0.6346255544
319	0.6344216616
320	0.6342006625
321	0.6341103657
322	0.6339434607
323	0.6338845639
324	0.6337404124
325	0.6335079752
326	0.6333296653
327	0.6331572526
328	0.6329801336
329	0.6328280188
330	0.6326332974
331	0.6324714371
332	0.6322986226
333	0.6321887554
334	0.6319927048
335	0.6318680134
336	0.6317636199
337	0.6316305782
338	0.6314317159
339	0.6313117516
340	0.6312235183
341	0.6309944096
342	0.6308097459
343	0.6306321952
344	0.6304985947
345	0.6302926376
346	0.6300864467
347	0.6299698351
348	0.6298390659
349	0.6297079386
350	0.6295805907
351	0.6294753611
352	0.629383611
353	0.6292505512
354	0.6291464491
355	0.6290657792
356	0.6289362718
357	0.6287458478
358	0.6285848629
359	0.6283873973
360	0.6281936991
361	0.6280741566
362	0.6279094449
363	0.6277447111
364	0.6276535765
365	0.6275653427
366	0.6274373707
367	0.6272913375
368	0.627132166
369	0.6270128987
370	0.6268376726
371	0.6266845414
372	0.6264939467
