iter	Passed	Remaining
0	18	20545
1	21	11620
2	23	8637
3	27	7464
4	29	6470
5	31	5829
6	34	5402
7	37	5052
8	39	4784
9	42	4684
10	45	4525
11	48	4357
12	50	4199
13	52	4097
14	55	3995
15	57	3919
16	61	3911
17	63	3836
18	66	3781
19	68	3712
20	71	3653
21	74	3667
22	77	3629
23	79	3571
24	81	3523
25	84	3488
26	86	3449
27	89	3420
28	92	3416
29	94	3380
30	96	3342
31	99	3315
32	101	3285
33	104	3265
34	106	3255
35	109	3246
36	112	3223
37	114	3198
38	116	3177
39	119	3156
40	122	3154
41	125	3162
42	127	3140
43	129	3116
44	132	3097
45	134	3086
46	137	3069
47	139	3062
48	142	3061
49	145	3047
50	147	3035
51	149	3022
52	152	3008
53	155	3008
54	157	3000
55	160	2988
56	163	2993
57	165	2980
58	168	2968
59	171	2967
60	173	2955
61	175	2943
62	178	2930
63	180	2918
64	182	2907
65	184	2897
66	187	2890
67	189	2882
68	192	2874
69	194	2866
70	197	2859
71	199	2852
72	202	2845
73	204	2837
74	206	2828
75	209	2819
76	211	2810
77	213	2803
78	216	2792
79	218	2783
80	220	2779
81	223	2772
82	225	2764
83	227	2757
84	230	2750
85	232	2746
86	236	2751
87	238	2746
88	241	2747
89	245	2754
90	248	2751
91	252	2766
92	255	2768
93	258	2769
94	261	2769
95	264	2765
96	266	2758
97	280	2869
98	283	2861
99	286	2860
100	288	2855
101	291	2849
102	293	2840
103	295	2831
104	297	2822
105	299	2812
106	303	2812
107	305	2806
108	307	2799
109	309	2789
110	312	2779
111	314	2770
112	316	2762
113	319	2763
114	321	2756
115	324	2754
116	326	2747
117	329	2739
118	331	2731
119	333	2727
120	336	2719
121	338	2714
122	340	2705
123	342	2698
124	344	2690
125	347	2682
126	349	2678
127	352	2673
128	354	2666
129	356	2660
130	358	2652
131	360	2644
132	362	2636
133	364	2630
134	367	2627
135	370	2623
136	372	2616
137	374	2610
138	376	2602
139	378	2595
140	380	2588
141	383	2584
142	385	2580
143	387	2574
144	389	2567
145	391	2561
146	394	2554
147	396	2551
148	398	2544
149	400	2538
150	403	2533
151	405	2527
152	407	2520
153	409	2514
154	411	2510
155	413	2504
156	415	2497
157	417	2492
158	420	2488
159	423	2485
160	426	2484
161	428	2482
162	432	2484
163	434	2481
164	436	2475
165	439	2472
166	442	2472
167	444	2468
168	447	2465
169	449	2460
170	451	2454
171	453	2449
172	456	2443
173	458	2438
174	460	2433
175	462	2428
176	464	2424
177	466	2418
178	469	2415
179	471	2412
180	474	2409
181	476	2404
182	478	2400
183	481	2395
184	483	2390
185	485	2386
186	487	2381
187	489	2376
188	492	2371
189	494	2366
190	496	2362
191	498	2359
192	501	2354
193	503	2349
194	505	2344
195	507	2340
196	509	2335
197	511	2329
198	513	2326
199	516	2322
200	518	2318
201	520	2314
202	522	2309
203	524	2304
204	526	2300
205	528	2295
206	531	2290
207	533	2286
208	535	2282
209	537	2277
210	539	2272
211	541	2268
212	543	2263
213	545	2258
214	547	2254
215	549	2250
216	551	2245
217	553	2240
218	555	2236
219	558	2232
220	560	2227
221	562	2223
222	564	2219
223	566	2214
224	568	2210
225	570	2206
226	572	2201
227	574	2198
228	577	2194
229	579	2190
230	581	2186
231	583	2182
232	585	2178
233	587	2174
234	589	2170
235	591	2165
236	593	2162
237	595	2157
238	597	2153
239	600	2150
240	602	2146
241	604	2143
242	606	2139
243	608	2135
244	610	2131
245	612	2127
246	614	2123
247	617	2120
248	619	2118
249	622	2115
250	624	2112
251	627	2110
252	629	2108
253	631	2104
254	633	2100
255	636	2096
256	638	2093
257	640	2089
258	642	2086
259	674	2179
260	677	2176
261	679	2172
262	681	2169
263	683	2165
264	685	2161
265	688	2157
266	690	2153
267	693	2151
268	696	2150
269	698	2147
270	701	2145
271	704	2143
272	707	2142
273	709	2139
274	712	2138
275	715	2135
276	718	2134
277	720	2131
278	723	2129
279	726	2126
280	728	2123
281	731	2121
282	733	2118
283	736	2116
284	739	2113
285	741	2110
286	744	2107
287	747	2107
288	750	2105
289	752	2102
290	755	2099
291	758	2098
292	760	2095
293	763	2093
294	766	2091
295	769	2088
296	772	2087
297	774	2084
298	776	2081
299	778	2076
300	780	2072
301	783	2069
302	785	2065
303	787	2061
304	789	2058
305	792	2055
306	794	2052
307	796	2048
308	798	2044
309	800	2039
310	802	2035
311	804	2032
312	806	2028
313	808	2024
314	810	2020
315	812	2016
316	820	2026
317	822	2022
318	824	2019
319	826	2015
320	829	2011
321	831	2007
322	833	2004
323	835	2000
324	837	1996
325	839	1993
326	841	1989
327	843	1985
328	845	1982
329	847	1978
330	849	1974
331	852	1970
332	854	1967
333	856	1963
334	858	1959
335	860	1955
336	862	1952
337	864	1948
338	866	1944
339	868	1940
340	870	1937
341	872	1933
342	874	1930
343	876	1926
344	878	1923
345	880	1919
346	882	1915
347	884	1912
348	887	1908
349	888	1904
350	891	1901
351	893	1898
352	895	1895
353	897	1891
354	900	1888
355	902	1885
356	904	1881
357	906	1878
358	908	1874
359	911	1873
360	914	1871
361	916	1869
362	919	1866
363	921	1863
364	923	1860
365	925	1856
366	927	1853
367	929	1849
368	931	1846
369	934	1843
370	937	1841
371	939	1838
372	941	1835
373	943	1831
374	946	1829
375	949	1829
376	952	1826
377	954	1822
378	956	1818
379	958	1815
380	960	1812
381	962	1808
382	964	1805
383	966	1803
384	969	1799
385	971	1796
386	973	1793
387	975	1789
388	977	1786
389	979	1784
390	982	1781
391	984	1778
392	987	1776
393	989	1773
394	992	1771
395	995	1770
396	999	1769
397	1002	1767
398	1004	1765
399	1007	1762
400	1039	1811
401	1041	1808
402	1043	1805
403	1045	1801
404	1048	1798
405	1050	1795
406	1052	1792
407	1054	1788
408	1056	1785
409	1058	1782
410	1061	1778
411	1063	1775
412	1065	1772
413	1067	1768
414	1069	1765
415	1071	1762
416	1073	1758
417	1075	1755
418	1078	1752
419	1080	1748
420	1082	1745
421	1084	1742
422	1086	1739
423	1088	1736
424	1090	1732
425	1093	1729
426	1095	1726
427	1097	1723
428	1100	1720
429	1102	1717
430	1104	1713
431	1106	1710
432	1108	1708
433	1112	1707
434	1115	1704
435	1117	1701
436	1119	1698
437	1121	1695
438	1123	1691
439	1125	1688
440	1128	1686
441	1130	1683
442	1132	1679
443	1134	1676
444	1136	1673
445	1138	1670
446	1141	1667
447	1143	1664
448	1145	1660
449	1147	1657
450	1149	1654
451	1151	1651
452	1154	1648
453	1156	1645
454	1158	1642
455	1160	1638
456	1162	1635
457	1164	1632
458	1166	1629
459	1168	1626
460	1171	1623
461	1173	1619
462	1175	1616
463	1177	1613
464	1179	1610
465	1181	1607
466	1183	1604
467	1185	1601
468	1187	1598
469	1189	1594
470	1191	1591
471	1193	1588
472	1195	1585
473	1197	1581
474	1199	1578
475	1202	1575
476	1204	1573
477	1206	1570
478	1208	1567
479	1210	1563
480	1212	1560
481	1215	1558
482	1217	1555
483	1219	1552
484	1222	1549
485	1225	1548
486	1228	1546
487	1246	1562
488	1249	1561
489	1252	1558
490	1254	1556
491	1256	1553
492	1260	1551
493	1262	1549
494	1265	1546
495	1267	1543
496	1269	1540
497	1272	1538
498	1275	1536
499	1278	1533
500	1280	1530
501	1282	1528
502	1285	1525
503	1287	1523
504	1290	1520
505	1293	1517
506	1295	1514
507	1297	1512
508	1299	1509
509	1302	1506
510	1316	1517
511	1322	1518
512	1325	1516
513	1327	1513
514	1329	1510
515	1333	1508
516	1336	1506
517	1338	1504
518	1341	1501
519	1344	1499
520	1346	1496
521	1349	1494
522	1351	1491
523	1353	1488
524	1356	1485
525	1358	1482
526	1361	1480
527	1364	1478
528	1366	1475
529	1368	1472
530	1371	1469
531	1373	1466
532	1375	1463
533	1377	1460
534	1379	1457
535	1381	1454
536	1383	1450
537	1386	1447
538	1388	1445
539	1391	1442
540	1393	1439
541	1395	1436
542	1397	1433
543	1399	1430
544	1401	1427
545	1403	1424
546	1406	1421
547	1408	1418
548	1410	1416
549	1412	1412
550	1414	1409
551	1417	1406
552	1419	1404
553	1421	1401
554	1424	1398
555	1427	1396
556	1429	1393
557	1432	1391
558	1434	1388
559	1436	1385
560	1439	1382
561	1441	1379
562	1443	1376
563	1445	1373
564	1447	1370
565	1450	1368
566	1453	1366
567	1456	1364
568	1460	1362
569	1462	1360
570	1465	1357
571	1467	1354
572	1470	1352
573	1474	1351
574	1479	1350
575	1481	1347
576	1484	1345
577	1487	1343
578	1491	1341
579	1494	1340
580	1497	1337
581	1500	1335
582	1503	1333
583	1507	1331
584	1509	1329
585	1512	1326
586	1514	1323
587	1517	1321
588	1519	1318
589	1522	1315
590	1524	1313
591	1527	1310
592	1529	1307
593	1532	1305
594	1534	1302
595	1537	1299
596	1539	1297
597	1541	1294
598	1543	1291
599	1546	1288
600	1548	1285
601	1551	1283
602	1553	1280
603	1556	1277
604	1558	1274
605	1560	1272
606	1563	1269
607	1566	1267
608	1569	1265
609	1571	1262
610	1574	1259
611	1576	1257
612	1593	1265
613	1595	1263
614	1598	1260
615	1600	1257
616	1603	1254
617	1605	1251
618	1607	1249
619	1610	1246
620	1612	1243
621	1615	1241
622	1617	1238
623	1619	1235
624	1621	1232
625	1624	1230
626	1627	1228
627	1630	1225
628	1632	1222
629	1635	1219
630	1637	1217
631	1639	1214
632	1642	1211
633	1644	1208
634	1646	1205
635	1649	1203
636	1651	1200
637	1654	1197
638	1656	1194
639	1658	1192
640	1660	1189
641	1662	1186
642	1665	1183
643	1668	1181
644	1670	1178
645	1673	1175
646	1675	1173
647	1678	1170
648	1681	1168
649	1684	1166
650	1686	1163
651	1688	1160
652	1690	1157
653	1692	1154
654	1694	1151
655	1697	1148
656	1699	1146
657	1701	1143
658	1703	1140
659	1705	1137
660	1707	1134
661	1710	1131
662	1713	1129
663	1715	1126
664	1717	1123
665	1719	1120
666	1721	1117
667	1723	1114
668	1725	1111
669	1727	1108
670	1730	1106
671	1732	1103
672	1734	1100
673	1737	1097
674	1739	1095
675	1741	1092
676	1743	1089
677	1746	1086
678	1748	1083
679	1750	1080
680	1752	1078
681	1755	1075
682	1757	1073
683	1759	1070
684	1762	1067
685	1764	1064
686	1766	1061
687	1768	1059
688	1771	1056
689	1773	1053
690	1775	1050
691	1778	1048
692	1780	1045
693	1783	1043
694	1785	1040
695	1787	1037
696	1789	1034
697	1791	1031
698	1794	1029
699	1795	1026
700	1798	1023
701	1800	1020
702	1802	1018
703	1804	1015
704	1806	1012
705	1808	1009
706	1811	1006
707	1813	1004
708	1815	1001
709	1817	998
710	1820	995
711	1822	992
712	1824	990
713	1826	987
714	1829	984
715	1831	982
716	1833	979
717	1835	976
718	1837	973
719	1839	970
720	1841	968
721	1844	965
722	1846	962
723	1848	959
724	1850	957
725	1852	954
726	1854	951
727	1856	948
728	1859	946
729	1861	943
730	1863	940
731	1865	937
732	1867	934
733	1869	932
734	1871	929
735	1874	926
736	1876	924
737	1878	921
738	1880	918
739	1882	916
740	1885	913
741	1887	910
742	1890	908
743	1892	905
744	1894	902
745	1896	899
746	1898	897
747	1900	894
748	1902	891
749	1905	889
750	1907	886
751	1909	883
752	1911	880
753	1913	878
754	1916	875
755	1918	872
756	1920	870
757	1922	867
758	1924	864
759	1926	861
760	1928	859
761	1930	856
762	1933	853
763	1934	850
764	1936	848
765	1939	845
766	1941	842
