author,mbti,introverted,intuitive,thinking,perceiving,gender,age,enneagram,country,state,type,agreeableness,openness,conscientiousness,extraversion,neuroticism,is_description,is_percentile,is_score,contains_details,num_comments,en_comments,en_comments_percentage,region,continent,country_code,enneagram_type,enneagram_wing,is_native_english_country,predicted_test,test_name,test_scale,16pers_ta,test_result_type,is_female,is_female_pred,is_female_proba
-Areopagan-,,,,,,m,,,,,percentiles,0.0,99.0,96.0,60.0,1.0,,,1.0,1.0,5,5,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.16275804209781305
-BigSexy-,,,,,,m,23.0,,,,percentiles,39.0,92.0,1.0,18.0,4.0,,1,,1.0,2797,2655,94.92313193,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.034609377022734984
-BlitzN9ne,entp,0.0,1.0,1.0,1.0,m,21.0,3w4,,,description,50.0,85.0,15.0,50.0,30.0,1.0,,,,3404,3042,89.36545241,,,,3.0,4.0,,1.0,qualtrics,percentiles,,description,0.0,0,0.027724830353845858
-CrestiaBell,,,,,,m,21.0,,,,description,50.0,85.0,50.0,85.0,50.0,1.0,,,,8106,7664,94.54724895,,,,,,,0.0,qualtrics,percentiles,,description,0.0,0,0.06502083624247247
-dyad-,infp,1.0,1.0,0.0,1.0,f,,,,,percentiles,60.0,67.0,45.0,10.0,47.0,,,1.0,1.0,235,228,97.0212766,,,,,,,0.0,ipip300,percentiles,,percentiles,1.0,1,0.9521658136945191
-fwer,,,,,,m,18.0,,,,percentiles,46.0,27.0,31.0,10.0,84.0,,1,,1.0,1,1,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.19149484780405876
-tactical-throw-away,,,,,,m,,,,,percentiles,2.0,92.0,31.0,60.0,53.0,,1,,1.0,4633,3640,78.56680337,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.014719649770470591
12345jk12345,estp,0.0,0.0,1.0,1.0,m,20.0,,,,percentiles,0.0,37.0,72.0,72.0,3.0,,,1.0,1.0,110,104,94.54545455,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.011345588651355848
1mas,,,,,,,,,,,percentiles,1.0,71.0,0.0,28.0,59.0,,1,,1.0,99,53,53.53535354,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.29106293194264776
22Starter22,,,,,,,25.0,,,,percentiles,11.0,3.0,32.0,6.0,77.0,,,1.0,0.0,132,128,96.96969697,,,,,,,0.0,personality assessor,percentiles,,percentiles,,0,0.1059562867034538
3062226abcd,,,,,,,,,,,percentiles,47.0,50.0,57.0,1.0,99.0,,1,,,118,105,88.98305085,,,,,,,0.0,personality assessor,percentiles,,percentiles,,0,0.05541850750372937
4OoztoFreedom,,,,,,,,,,,percentiles,67.0,20.0,4.0,4.0,37.0,,1,,,513,497,96.88109162,,,,,,,0.0,personality assessor,percentiles,,percentiles,,0,0.004400353020380954
5426742,,,,,,,,,,,percentiles,28.0,88.0,63.0,14.0,98.0,,1,,,1936,1867,96.43595041,,,,,,,0.0,personality assessor,percentiles,,percentiles,,1,0.9415129024988114
9Hero,,,,,,,,,,,percentiles,8.0,75.0,1.0,14.0,95.0,,1,,,1323,1257,95.01133787,,,,,,,0.0,personality assessor,percentiles,,percentiles,,0,0.06115026436921184
ACE_C0ND0R,intj,1.0,1.0,1.0,0.0,m,,,,,percentiles,10.0,80.0,74.0,27.0,18.0,,1,,,14659,13588,92.69390818,,,,,,,0.0,outofservice,percentiles,,percentiles,0.0,0,0.015924886537391568
AGKS2017,,,,,,,,,,,percentiles,0.0,80.0,5.0,37.0,68.0,,1,,1.0,1,1,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.4661095419580818
A_Bra_and_a_Ham,enfp,0.0,1.0,0.0,1.0,,,,,,percentiles,1.0,50.0,61.0,90.0,3.0,,,1.0,1.0,80,76,95.0,,,,,,,0.0,ipip300,percentiles,,percentiles,,0,0.0824134505819619
A_Pale_H_o_r_s_e,,,,,,m,,,,,percentiles,13.0,98.0,97.0,94.0,16.0,,,1.0,1.0,68,68,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,0.0,0,0.05850904664188088
AbstractStateMachine,,,,,,m,27.0,,,,percentiles,80.0,92.0,25.0,84.0,78.0,,1,,1.0,2045,1990,97.31051345,,,,,,,1.0,understand myself,percentiles,,percentiles,0.0,0,0.07839375048450824
Abutilion,,,,,,,,,,,percentiles,50.0,49.0,38.0,47.0,94.0,,1,,1.0,2,2,100.0,,,,,,,0.0,understand myself,percentiles,,percentiles,,0,0.31469679590562666
Achillira,,,,,,f,23.0,,,,percentiles,0.0,98.0,80.0,91.0,24.0,,1,,1.0,1,1,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,1.0,0,0.4470607161245388
Adage_Cage,,,,,,,,,,,percentiles,29.0,0.0,4.0,0.0,92.0,,1,,1.0,25,25,100.0,,,,,,,1.0,understand myself,percentiles,,percentiles,,0,0.004349285130287242
