extraversion_n,extraversion_p,agreableness_n,agreableness_p,conscientiousness_n,conscientiousness_p,neuroticism_n,neuroticism_p,openness_n,openness_p
enthusiastic,seclusive,accommodating,antagonistic,orderly,disorganized,passionless,defensive,contemplative,shallow
spirited,unsociable,agreeable,argumentative,organized,haphazard,unexcitable,fretful,intellectual,unintellectual
vivacious,withdrawn,cooperative,combative,systematic,inefficient,unemotiona,insecure,introspective,unreflective
zestful,quiet,helpful,quarrelsome,concise,scatter,autonomous,negativistic,meditative,uncreative
extroverted,silent,patient,faultfinding,exacting,brained,independent,self-critical,philosophical,unimaginative
gregarious,untalkative,peaceful,harsh,efficient,scatterbrained,individualistie,self-pitying,deep,imperceptive
adventurous,detached,reasonable,unforgiving,fastidious,sloppy,relaxed,anxious,complex,unobservant
mischievous,tvserved,amiable,unsympathetic,self-discipline,unsystematic,stable,fearful,foresighted,unintelligent
playful,secretive,cordial,bossy,dependable,careless,satisfied,nervous,insightful,ignorant
rambunctious,bashful,friendly,demanding,reliable,negligent,calm,temperamental,perceptive,dull
communicative,shy,genial,domineering,responsible,undependable,safe,touchy,bright,curiosity
expressive,timid,pleasant,manipulative,meticulous,unconscientious,,unstable,intelligent,thinking
verba,inhibited,considerate,abusive,peffectionistic,unreliable,reliable,envious,smart,creativity
carefree,restrained,kind,disrespectful,precise,erratic,easy-going,jealous,artistic,sophistication
happy-go-lucky,unadventurous,sympathetic,impolite,industrious,inconsistent,patient,gullible,creative,ignorance
spontaneous,unaggressive,trustful,impudent,persistent,unpredictable,rational,naive,imaginative,old-fashioned
impetuous,uncompetitive,understanding,rude,thorough,forgetful,peaceful,suggestible,innovative,simple
uninhibited,docile,lenient,scornful,careful,absent-minded,indifferent,intrusive,inventive,shallow
unrestrained,passive,uncritical,cruel,cautious,foolhardy,strong,meddlesome,curious,conservative
active,submissive,undemanding,ruthless,prompt,rash,steady,nosey,inquisitive,boring
energetic,lethargic,courteous,vindictive,punctual,reckless,unhelpful,unstable,cosmopolitan,stubborn
vigorous,sluggish,diplomatm,condescending, decisive,aimless,melancholy,dissatisfied,cultured,submissive
talkative,bitter,pohte,pompous,deliberate,unambitious,tough,irritable,refined,practical
verbose,joyless,respectful,smug,firm,slothfu,rugged,restless,sophisticated,rational
wordy,melancholic,tactful,snobbish,purposeful,lazy,unflinching ,anxious,worldly,traditional
assertive,moody,benevolent,crabby,dignified,indecisive,peaceful,inferior,imaginative,closed
